Year,Date,Hourly Demand Met (in MW),Datetime,Temperature_C,Humidity_%
2024,02-Jan 3pm,193316.24,02-01-2024 15:00,26.94,56.89
2024,02-Jan 4pm,189800.86,02-01-2024 16:00,26.62,60.62
2024,02-Jan 5pm,190138.03,02-01-2024 17:00,27,61.93
2024,02-Jan 6pm,190260.17,02-01-2024 18:00,23.53,60.32
2024,02-Jan 7pm,185158.71,02-01-2024 19:00,24.41,59.34
2024,02-Jan 8pm,174648.17,02-01-2024 20:00,23.76,58.87
2024,02-Jan 9pm,166827.49,02-01-2024 21:00,21.16,78.42
2024,02-Jan 10pm,159134.44,02-01-2024 22:00,20.81,72.19
2024,02-Jan 11pm,153016.01,02-01-2024 23:00,21.02,77.34
2024,03-Jan 12am,147333.01,03-01-2024 00:00,18.05,77.57
2024,03-Jan 1am,143061.11,03-01-2024 01:00,17.68,74.19
2024,03-Jan 2am,140088.5,03-01-2024 02:00,18.47,72.97
2024,03-Jan 3am,139440,03-01-2024 03:00,18.28,74.71
2024,03-Jan 4am,142079.75,03-01-2024 04:00,18.44,70.93
2024,03-Jan 5am,150921.62,03-01-2024 05:00,18.39,70.46
2024,03-Jan 6am,165836.04,03-01-2024 06:00,20.1,71.12
2024,03-Jan 7am,184644.21,03-01-2024 07:00,20.42,71.87
2024,03-Jan 8am,195324.96,03-01-2024 08:00,19.59,75.04
2024,03-Jan 9am,201684.01,03-01-2024 09:00,22.7,43.49
2024,03-Jan 10am,206869.42,03-01-2024 10:00,22.55,37.36
2024,03-Jan 11am,208341.93,03-01-2024 11:00,22.83,44.35
2024,03-Jan 12pm,205263.95,03-01-2024 12:00,25.89,64.55
2024,03-Jan 1pm,199553.25,03-01-2024 13:00,25.77,64.59
2024,03-Jan 2pm,197213.5,03-01-2024 14:00,26.33,63.38
2024,03-Jan 3pm,195722.91,03-01-2024 15:00,26.86,58.64
2024,03-Jan 4pm,191619.26,03-01-2024 16:00,26.78,55.73
2024,03-Jan 5pm,191229.92,03-01-2024 17:00,27.04,60.69
2024,03-Jan 6pm,191083.57,03-01-2024 18:00,23.64,60.59
2024,03-Jan 7pm,185786.64,03-01-2024 19:00,24.3,63.5
2024,03-Jan 8pm,176078.41,03-01-2024 20:00,23.57,64.96
2024,03-Jan 9pm,168128.52,03-01-2024 21:00,21.49,75.08
2024,03-Jan 10pm,160589.42,03-01-2024 22:00,21.27,73.45
2024,03-Jan 11pm,154155.71,03-01-2024 23:00,20.7,71.86
2024,04-Jan 12am,148063.9,04-01-2024 00:00,17.51,70.05
2024,04-Jan 1am,143605.58,04-01-2024 01:00,18.32,75.09
2024,04-Jan 2am,140989.55,04-01-2024 02:00,18.21,75.56
2024,04-Jan 3am,140758.1,04-01-2024 03:00,18.23,78.25
2024,04-Jan 4am,143786.7,04-01-2024 04:00,18.27,75.05
2024,04-Jan 5am,152420.42,04-01-2024 05:00,17.57,79.16
2024,04-Jan 6am,168753.94,04-01-2024 06:00,19.86,76.28
2024,04-Jan 7am,188949.35,04-01-2024 07:00,19.62,78.4
2024,04-Jan 8am,197921.81,04-01-2024 08:00,20.36,71.48
2024,04-Jan 9am,203203.17,04-01-2024 09:00,23.12,63.55
2024,04-Jan 10am,206280.4,04-01-2024 10:00,22.83,41.75
2024,04-Jan 11am,205774,04-01-2024 11:00,22.56,36.7
2024,04-Jan 12pm,203463.3,04-01-2024 12:00,25.81,56.9
2024,04-Jan 1pm,198814.73,04-01-2024 13:00,25.83,64.27
2024,04-Jan 2pm,197024.42,04-01-2024 14:00,26.23,55.32
2024,04-Jan 3pm,195068.74,04-01-2024 15:00,27.14,59.63
2024,04-Jan 4pm,191657.64,04-01-2024 16:00,27.39,58.13
2024,04-Jan 5pm,189548.85,04-01-2024 17:00,26.97,61.65
2024,04-Jan 6pm,189760.2,04-01-2024 18:00,23.62,63.4
2024,04-Jan 7pm,185655.42,04-01-2024 19:00,24.21,58.6
2024,04-Jan 8pm,176288.82,04-01-2024 20:00,24.26,59.27
2024,04-Jan 9pm,169024.27,04-01-2024 21:00,21.06,79.82
2024,04-Jan 10pm,160418.06,04-01-2024 22:00,21.27,77.84
2024,04-Jan 11pm,153840.8,04-01-2024 23:00,20.99,78.97
2024,05-Jan 12am,148036.33,05-01-2024 00:00,18.02,74.39
2024,05-Jan 1am,143840.29,05-01-2024 01:00,17.93,72.34
2024,05-Jan 2am,141188.93,05-01-2024 02:00,17.53,74.12
2024,05-Jan 3am,140750.82,05-01-2024 03:00,17.61,77.16
2024,05-Jan 4am,143924.49,05-01-2024 04:00,17.53,71.09
2024,05-Jan 5am,153517.15,05-01-2024 05:00,18.14,72.7
2024,05-Jan 6am,168565.81,05-01-2024 06:00,19.81,70.47
2024,05-Jan 7am,187344.62,05-01-2024 07:00,20.01,74.32
2024,05-Jan 8am,197262.61,05-01-2024 08:00,20.41,78.27
2024,05-Jan 9am,202884.77,05-01-2024 09:00,22.75,35.25
2024,05-Jan 10am,208334.68,05-01-2024 10:00,22.91,41.75
2024,05-Jan 11am,208765.04,05-01-2024 11:00,23.26,64.32
2024,05-Jan 12pm,206654.25,05-01-2024 12:00,25.73,57.37
2024,05-Jan 1pm,201653.66,05-01-2024 13:00,25.58,61.94
2024,05-Jan 2pm,198242.36,05-01-2024 14:00,25.79,64.75
2024,05-Jan 3pm,194620.48,05-01-2024 15:00,26.66,64.62
2024,05-Jan 4pm,190394.53,05-01-2024 16:00,27.43,57.35
2024,05-Jan 5pm,188492.45,05-01-2024 17:00,27.31,56
2024,05-Jan 6pm,188306.61,05-01-2024 18:00,24.13,56.48
2024,05-Jan 7pm,184304.02,05-01-2024 19:00,24.37,62.02
2024,05-Jan 8pm,174859.14,05-01-2024 20:00,24.3,62.26
2024,05-Jan 9pm,166855.66,05-01-2024 21:00,20.69,76.74
2024,05-Jan 10pm,158392.85,05-01-2024 22:00,21.39,73.36
2024,05-Jan 11pm,151596.69,05-01-2024 23:00,21.04,71.7
2024,06-Jan 12am,145706.04,06-01-2024 00:00,18.31,75.81
2024,06-Jan 1am,141622.5,06-01-2024 01:00,18.4,74.84
2024,06-Jan 2am,139089.58,06-01-2024 02:00,17.82,77.29
2024,06-Jan 3am,138230.62,06-01-2024 03:00,17.61,74.41
2024,06-Jan 4am,140984.65,06-01-2024 04:00,17.73,73.39
2024,06-Jan 5am,150720.17,06-01-2024 05:00,17.93,72.93
2024,06-Jan 6am,167683.53,06-01-2024 06:00,20.32,72.11
2024,06-Jan 7am,187608.98,06-01-2024 07:00,20.36,72.66
2024,06-Jan 8am,197818.67,06-01-2024 08:00,19.51,70.95
2024,06-Jan 9am,204301.69,06-01-2024 09:00,23.01,58.47
2024,06-Jan 10am,208534.04,06-01-2024 10:00,22.92,35.37
2024,06-Jan 11am,206690.53,06-01-2024 11:00,22.72,36.86
2024,06-Jan 12pm,203406.37,06-01-2024 12:00,25.62,62.47
2024,06-Jan 1pm,197393.66,06-01-2024 13:00,25.84,58.25
2024,06-Jan 2pm,193991.27,06-01-2024 14:00,26.44,61.68
2024,06-Jan 3pm,190405.28,06-01-2024 15:00,26.82,62.17
2024,06-Jan 4pm,186477.14,06-01-2024 16:00,27.02,60.81
2024,06-Jan 5pm,188391.9,06-01-2024 17:00,27.2,64.59
2024,06-Jan 6pm,190477.25,06-01-2024 18:00,23.86,55.21
2024,06-Jan 7pm,186170.11,06-01-2024 19:00,24.47,62.39
2024,06-Jan 8pm,174787.73,06-01-2024 20:00,24.46,64.59
2024,06-Jan 9pm,166496.95,06-01-2024 21:00,20.75,78.62
2024,06-Jan 10pm,158783.91,06-01-2024 22:00,21,71.68
2024,06-Jan 11pm,152301.35,06-01-2024 23:00,20.8,73.27
2024,07-Jan 12am,147155.88,07-01-2024 00:00,17.78,71.72
2024,07-Jan 1am,142748.86,07-01-2024 01:00,17.54,76.01
2024,07-Jan 2am,139724.57,07-01-2024 02:00,18.11,77.12
2024,07-Jan 3am,139183.69,07-01-2024 03:00,18,73.17
2024,07-Jan 4am,141611.3,07-01-2024 04:00,17.55,75.4
2024,07-Jan 5am,149761.76,07-01-2024 05:00,17.78,76.91
2024,07-Jan 6am,161906.78,07-01-2024 06:00,20.41,74.21
2024,07-Jan 7am,177945.02,07-01-2024 07:00,19.74,78.54
2024,07-Jan 8am,189521.11,07-01-2024 08:00,19.64,77.72
2024,07-Jan 9am,197042.95,07-01-2024 09:00,22.99,35.65
2024,07-Jan 10am,201151.49,07-01-2024 10:00,23.49,61.21
2024,07-Jan 11am,199944.65,07-01-2024 11:00,22.74,37.35
2024,07-Jan 12pm,196556.19,07-01-2024 12:00,26.17,60.58
2024,07-Jan 1pm,188827.52,07-01-2024 13:00,26.26,64.57
2024,07-Jan 2pm,182150.9,07-01-2024 14:00,25.74,63.79
2024,07-Jan 3pm,178140.43,07-01-2024 15:00,27.23,59.05
2024,07-Jan 4pm,175050.24,07-01-2024 16:00,26.87,57.92
2024,07-Jan 5pm,177843.54,07-01-2024 17:00,27.13,57.34
2024,07-Jan 6pm,180367.23,07-01-2024 18:00,24.13,60.33
2024,07-Jan 7pm,176277.37,07-01-2024 19:00,24.04,56.14
2024,07-Jan 8pm,166242.35,07-01-2024 20:00,23.59,60.49
2024,07-Jan 9pm,158737.63,07-01-2024 21:00,21.34,70.01
2024,07-Jan 10pm,150953.17,07-01-2024 22:00,20.82,73.24
2024,07-Jan 11pm,144915.36,07-01-2024 23:00,20.69,72.2
2024,08-Jan 12am,140476.56,08-01-2024 00:00,17.54,79.71
2024,08-Jan 1am,136215.72,08-01-2024 01:00,18.09,77.27
2024,08-Jan 2am,133645.49,08-01-2024 02:00,18.18,73.5
2024,08-Jan 3am,133255.84,08-01-2024 03:00,17.52,70.93
2024,08-Jan 4am,136647.54,08-01-2024 04:00,18.01,75.17
2024,08-Jan 5am,146678.1,08-01-2024 05:00,17.73,72.13
2024,08-Jan 6am,164110.26,08-01-2024 06:00,20.15,75.36
2024,08-Jan 7am,185591.17,08-01-2024 07:00,19.67,78.35
2024,08-Jan 8am,196462.95,08-01-2024 08:00,20.19,76.16
2024,08-Jan 9am,200024.22,08-01-2024 09:00,22.89,41.34
2024,08-Jan 10am,202282.25,08-01-2024 10:00,23.44,60.41
2024,08-Jan 11am,202743.27,08-01-2024 11:00,22.64,44.27
2024,08-Jan 12pm,201920.7,08-01-2024 12:00,25.84,64.32
2024,08-Jan 1pm,194689.27,08-01-2024 13:00,25.61,60.13
2024,08-Jan 2pm,191467.84,08-01-2024 14:00,26.42,58.06
2024,08-Jan 3pm,189118.25,08-01-2024 15:00,27.38,59.6
2024,08-Jan 4pm,187221.91,08-01-2024 16:00,26.76,56.87
2024,08-Jan 5pm,189792.98,08-01-2024 17:00,27.16,61.36
2024,08-Jan 6pm,193031.9,08-01-2024 18:00,24.32,60
2024,08-Jan 7pm,186866.02,08-01-2024 19:00,24.06,56.03
2024,08-Jan 8pm,176132.38,08-01-2024 20:00,24.03,56.98
2024,08-Jan 9pm,167638.68,08-01-2024 21:00,20.74,74.8
2024,08-Jan 10pm,159213.05,08-01-2024 22:00,20.59,78.88
2024,08-Jan 11pm,152405.31,08-01-2024 23:00,21.4,75.66
2024,09-Jan 12am,146380,09-01-2024 00:00,18.4,76.82
2024,09-Jan 1am,141845.58,09-01-2024 01:00,18.13,73.39
2024,09-Jan 2am,138620.56,09-01-2024 02:00,17.84,75.71
2024,09-Jan 3am,137780.18,09-01-2024 03:00,17.85,74.47
2024,09-Jan 4am,140022.41,09-01-2024 04:00,18.23,76.59
2024,09-Jan 5am,149848.87,09-01-2024 05:00,18.4,70.51
2024,09-Jan 6am,166511.64,09-01-2024 06:00,20.39,74.93
2024,09-Jan 7am,187566.41,09-01-2024 07:00,20.28,72.96
2024,09-Jan 8am,197768.45,09-01-2024 08:00,20.14,73.26
2024,09-Jan 9am,202425.49,09-01-2024 09:00,22.58,44.61
2024,09-Jan 10am,205156.77,09-01-2024 10:00,22.66,36.83
2024,09-Jan 11am,203238.77,09-01-2024 11:00,23.4,58.11
2024,09-Jan 12pm,200965.81,09-01-2024 12:00,26.11,60.1
2024,09-Jan 1pm,192793.01,09-01-2024 13:00,25.51,63.63
2024,09-Jan 2pm,190064.53,09-01-2024 14:00,25.6,59.17
2024,09-Jan 3pm,189031.09,09-01-2024 15:00,27.16,62.44
2024,09-Jan 4pm,187189.12,09-01-2024 16:00,26.51,63.56
2024,09-Jan 5pm,188640.58,09-01-2024 17:00,26.66,58.1
2024,09-Jan 6pm,192029.11,09-01-2024 18:00,24.05,58.93
2024,09-Jan 7pm,187031.98,09-01-2024 19:00,24.19,58.57
2024,09-Jan 8pm,175844.16,09-01-2024 20:00,24.15,63.33
2024,09-Jan 9pm,167388.46,09-01-2024 21:00,20.72,70.44
2024,09-Jan 10pm,157935.08,09-01-2024 22:00,21.21,73.08
2024,09-Jan 11pm,150676.86,09-01-2024 23:00,20.74,76.79
2024,10-Jan 12am,144872.43,10-01-2024 00:00,17.83,75.65
2024,10-Jan 1am,140541.61,10-01-2024 01:00,18.25,74.36
2024,10-Jan 2am,137800.83,10-01-2024 02:00,18.15,75.4
2024,10-Jan 3am,137247.27,10-01-2024 03:00,18.35,71.98
2024,10-Jan 4am,140212.49,10-01-2024 04:00,18.16,74.31
2024,10-Jan 5am,150767.2,10-01-2024 05:00,18.07,75.02
2024,10-Jan 6am,167826.75,10-01-2024 06:00,19.59,79.01
2024,10-Jan 7am,188523.08,10-01-2024 07:00,19.87,72.61
2024,10-Jan 8am,199151.6,10-01-2024 08:00,19.77,78.68
2024,10-Jan 9am,204910.72,10-01-2024 09:00,22.74,41.44
2024,10-Jan 10am,209590.75,10-01-2024 10:00,23.47,55.2
2024,10-Jan 11am,208781.7,10-01-2024 11:00,22.89,42.25
2024,10-Jan 12pm,205029.23,10-01-2024 12:00,26.39,55.36
2024,10-Jan 1pm,197412.49,10-01-2024 13:00,26.13,64.97
2024,10-Jan 2pm,193514.77,10-01-2024 14:00,26.29,63.73
2024,10-Jan 3pm,191381.83,10-01-2024 15:00,27,57.97
2024,10-Jan 4pm,189615.69,10-01-2024 16:00,27.08,57.57
2024,10-Jan 5pm,191899.07,10-01-2024 17:00,26.99,58.81
2024,10-Jan 6pm,194488.68,10-01-2024 18:00,23.7,58.56
2024,10-Jan 7pm,189626.46,10-01-2024 19:00,24.22,58.72
2024,10-Jan 8pm,179553.72,10-01-2024 20:00,23.78,58.18
2024,10-Jan 9pm,171107.85,10-01-2024 21:00,20.52,76.21
2024,10-Jan 10pm,162451.93,10-01-2024 22:00,21.15,71.64
2024,10-Jan 11pm,154904.14,10-01-2024 23:00,20.68,78.46
2024,11-Jan 12am,148160.24,11-01-2024 00:00,18.44,78.12
2024,11-Jan 1am,143595.37,11-01-2024 01:00,18.45,74.76
2024,11-Jan 2am,140301.89,11-01-2024 02:00,18.41,78.53
2024,11-Jan 3am,139524.26,11-01-2024 03:00,17.87,72.47
2024,11-Jan 4am,142541.54,11-01-2024 04:00,17.52,70.18
2024,11-Jan 5am,153326.3,11-01-2024 05:00,18.43,76.19
2024,11-Jan 6am,170304.92,11-01-2024 06:00,19.93,74.58
2024,11-Jan 7am,191272.75,11-01-2024 07:00,20.47,75.67
2024,11-Jan 8am,202884.25,11-01-2024 08:00,20.46,78.99
2024,11-Jan 9am,210903.93,11-01-2024 09:00,23.35,64.7
2024,11-Jan 10am,213252.12,11-01-2024 10:00,22.79,41.34
2024,11-Jan 11am,211086.09,11-01-2024 11:00,22.89,42.64
2024,11-Jan 12pm,205646.89,11-01-2024 12:00,26.35,55.84
2024,11-Jan 1pm,196878.64,11-01-2024 13:00,25.82,56.61
2024,11-Jan 2pm,193584.07,11-01-2024 14:00,25.67,62.33
2024,11-Jan 3pm,191788.17,11-01-2024 15:00,27.06,59.31
2024,11-Jan 4pm,190473.94,11-01-2024 16:00,27.44,59.46
2024,11-Jan 5pm,193377.39,11-01-2024 17:00,27.2,58.09
2024,11-Jan 6pm,195810.25,11-01-2024 18:00,24.07,61.07
2024,11-Jan 7pm,191674.1,11-01-2024 19:00,23.6,56.85
2024,11-Jan 8pm,181513.49,11-01-2024 20:00,24.12,61.27
2024,11-Jan 9pm,173482.26,11-01-2024 21:00,21.49,71.74
2024,11-Jan 10pm,164533.1,11-01-2024 22:00,20.64,70.64
2024,11-Jan 11pm,156878.27,11-01-2024 23:00,21.02,73.3
2024,12-Jan 12am,150500.26,12-01-2024 00:00,18.38,72.31
2024,12-Jan 1am,145667.75,12-01-2024 01:00,18.24,78.89
2024,12-Jan 2am,142929.37,12-01-2024 02:00,18.2,70.55
2024,12-Jan 3am,141950.4,12-01-2024 03:00,18.2,71.77
2024,12-Jan 4am,144797.8,12-01-2024 04:00,17.86,75.49
2024,12-Jan 5am,154452.46,12-01-2024 05:00,17.79,74.81
2024,12-Jan 6am,171156.72,12-01-2024 06:00,20.31,70.46
2024,12-Jan 7am,192666.96,12-01-2024 07:00,20.31,70.07
2024,12-Jan 8am,205007.41,12-01-2024 08:00,20.37,79.88
2024,12-Jan 9am,213351.8,12-01-2024 09:00,23.41,61.59
2024,12-Jan 10am,217182.66,12-01-2024 10:00,23.01,58.65
2024,12-Jan 11am,217259.29,12-01-2024 11:00,23,59.7
2024,12-Jan 12pm,213304.67,12-01-2024 12:00,26.3,57.67
2024,12-Jan 1pm,204047.45,12-01-2024 13:00,26.15,58.45
2024,12-Jan 2pm,199362.45,12-01-2024 14:00,26.2,61.49
2024,12-Jan 3pm,197294.91,12-01-2024 15:00,27.3,63.83
2024,12-Jan 4pm,194865.24,12-01-2024 16:00,27.39,56.84
2024,12-Jan 5pm,195682.31,12-01-2024 17:00,26.84,63.4
2024,12-Jan 6pm,196912.57,12-01-2024 18:00,23.88,56.22
2024,12-Jan 7pm,192498.6,12-01-2024 19:00,23.59,57.15
2024,12-Jan 8pm,183139.9,12-01-2024 20:00,24.08,55.37
2024,12-Jan 9pm,175029.83,12-01-2024 21:00,20.54,71.41
2024,12-Jan 10pm,166375.13,12-01-2024 22:00,20.97,79.17
2024,12-Jan 11pm,159938.06,12-01-2024 23:00,21.04,74.59
2024,13-Jan 12am,153404.03,13-01-2024 00:00,17.79,70.78
2024,13-Jan 1am,148514.03,13-01-2024 01:00,18.09,79.6
2024,13-Jan 2am,144961.73,13-01-2024 02:00,17.53,78.79
2024,13-Jan 3am,143793.63,13-01-2024 03:00,17.54,77.55
2024,13-Jan 4am,146585.91,13-01-2024 04:00,18.32,79.33
2024,13-Jan 5am,155419.47,13-01-2024 05:00,17.86,72.2
2024,13-Jan 6am,170385.03,13-01-2024 06:00,19.63,78.36
2024,13-Jan 7am,190159.74,13-01-2024 07:00,20.02,76.9
2024,13-Jan 8am,203003.77,13-01-2024 08:00,20.27,78.7
2024,13-Jan 9am,210452.9,13-01-2024 09:00,22.72,42.97
2024,13-Jan 10am,214787.55,13-01-2024 10:00,23.12,58.46
2024,13-Jan 11am,213369.28,13-01-2024 11:00,22.59,42.74
2024,13-Jan 12pm,209991.8,13-01-2024 12:00,25.55,57.62
2024,13-Jan 1pm,202881.77,13-01-2024 13:00,26.03,58.29
2024,13-Jan 2pm,199859.72,13-01-2024 14:00,26.04,56.08
2024,13-Jan 3pm,197734.47,13-01-2024 15:00,27.14,64.35
2024,13-Jan 4pm,193566.8,13-01-2024 16:00,27.23,57.91
2024,13-Jan 5pm,191110.78,13-01-2024 17:00,27.48,60.21
2024,13-Jan 6pm,190311.74,13-01-2024 18:00,24.02,58.91
2024,13-Jan 7pm,186576.49,13-01-2024 19:00,23.82,64.6
2024,13-Jan 8pm,178561,13-01-2024 20:00,24.3,58.35
2024,13-Jan 9pm,172840.4,13-01-2024 21:00,20.77,77.79
2024,13-Jan 10pm,164595.58,13-01-2024 22:00,20.94,78.55
2024,13-Jan 11pm,158257.75,13-01-2024 23:00,20.58,74.36
2024,14-Jan 12am,151999.84,14-01-2024 00:00,17.53,73.78
2024,14-Jan 1am,147150.54,14-01-2024 01:00,18.46,77.48
2024,14-Jan 2am,143852.77,14-01-2024 02:00,18.34,79.13
2024,14-Jan 3am,143202.5,14-01-2024 03:00,18.2,77.55
2024,14-Jan 4am,145948.94,14-01-2024 04:00,17.91,72.27
2024,14-Jan 5am,154515.52,14-01-2024 05:00,17.67,78.88
2024,14-Jan 6am,166390.25,14-01-2024 06:00,19.66,73.88
2024,14-Jan 7am,181677.49,14-01-2024 07:00,19.75,75.76
2024,14-Jan 8am,193056.65,14-01-2024 08:00,20.05,78.31
2024,14-Jan 9am,200857.06,14-01-2024 09:00,23.21,56.88
2024,14-Jan 10am,204418.25,14-01-2024 10:00,23.16,62.85
2024,14-Jan 11am,202950.06,14-01-2024 11:00,22.78,40.96
2024,14-Jan 12pm,198492.67,14-01-2024 12:00,26.45,63.93
2024,14-Jan 1pm,189761.8,14-01-2024 13:00,26.24,56.72
2024,14-Jan 2pm,182683.87,14-01-2024 14:00,26.05,59.21
2024,14-Jan 3pm,177385.87,14-01-2024 15:00,27.11,63.33
2024,14-Jan 4pm,173947.36,14-01-2024 16:00,26.92,55.19
2024,14-Jan 5pm,175561.08,14-01-2024 17:00,26.75,56.12
2024,14-Jan 6pm,178043.28,14-01-2024 18:00,23.86,64.91
2024,14-Jan 7pm,175431.62,14-01-2024 19:00,24.26,57.8
2024,14-Jan 8pm,168025.27,14-01-2024 20:00,23.51,64.76
2024,14-Jan 9pm,161522.74,14-01-2024 21:00,20.62,71.83
2024,14-Jan 10pm,154802.73,14-01-2024 22:00,20.55,73.61
2024,14-Jan 11pm,148815.4,14-01-2024 23:00,20.54,77.53
2024,15-Jan 12am,142908.4,15-01-2024 00:00,18.36,76.58
2024,15-Jan 1am,138338.23,15-01-2024 01:00,18.2,75.81
2024,15-Jan 2am,135402.68,15-01-2024 02:00,17.97,75.3
2024,15-Jan 3am,134664.83,15-01-2024 03:00,17.6,78.43
2024,15-Jan 4am,138321.97,15-01-2024 04:00,17.99,72.35
2024,15-Jan 5am,149054.23,15-01-2024 05:00,17.97,74.42
2024,15-Jan 6am,164424.85,15-01-2024 06:00,19.67,71.55
2024,15-Jan 7am,183389.94,15-01-2024 07:00,19.93,75.96
2024,15-Jan 8am,196111.32,15-01-2024 08:00,19.9,72.51
2024,15-Jan 9am,204197.78,15-01-2024 09:00,23.12,58.34
2024,15-Jan 10am,209986.65,15-01-2024 10:00,23.14,59.71
2024,15-Jan 11am,208390.61,15-01-2024 11:00,22.55,35.27
2024,15-Jan 12pm,203876.4,15-01-2024 12:00,25.87,55.92
2024,15-Jan 1pm,196368.8,15-01-2024 13:00,26.13,61.86
2024,15-Jan 2pm,192776.7,15-01-2024 14:00,26,59.29
2024,15-Jan 3pm,190950.58,15-01-2024 15:00,27.36,63.65
2024,15-Jan 4pm,187414.96,15-01-2024 16:00,27.16,61.95
2024,15-Jan 5pm,184999.29,15-01-2024 17:00,26.66,55.08
2024,15-Jan 6pm,183548.85,15-01-2024 18:00,23.57,61.17
2024,15-Jan 7pm,180272.33,15-01-2024 19:00,24.14,55.94
2024,15-Jan 8pm,173960.18,15-01-2024 20:00,23.53,62.81
2024,15-Jan 9pm,166612.03,15-01-2024 21:00,21.09,79.92
2024,15-Jan 10pm,158989.26,15-01-2024 22:00,21.44,75.31
2024,15-Jan 11pm,152273.53,15-01-2024 23:00,21.08,76.83
2024,16-Jan 12am,146667.07,16-01-2024 00:00,17.89,72.37
2024,16-Jan 1am,142465.54,16-01-2024 01:00,18.14,74.38
2024,16-Jan 2am,139812.22,16-01-2024 02:00,17.96,78.56
2024,16-Jan 3am,138845.28,16-01-2024 03:00,18.05,71.67
2024,16-Jan 4am,141822.34,16-01-2024 04:00,18.44,72.66
2024,16-Jan 5am,151059.65,16-01-2024 05:00,17.89,74.45
2024,16-Jan 6am,166341.62,16-01-2024 06:00,20.46,77.12
2024,16-Jan 7am,185690.03,16-01-2024 07:00,20.41,73.76
2024,16-Jan 8am,197823.89,16-01-2024 08:00,19.7,79.28
2024,16-Jan 9am,206838.24,16-01-2024 09:00,22.57,35.94
2024,16-Jan 10am,212639.99,16-01-2024 10:00,22.6,38.71
2024,16-Jan 11am,209856.6,16-01-2024 11:00,22.52,42.09
2024,16-Jan 12pm,206527.61,16-01-2024 12:00,25.59,57.26
2024,16-Jan 1pm,199809.77,16-01-2024 13:00,26.18,61.56
2024,16-Jan 2pm,197890.48,16-01-2024 14:00,25.57,56.64
2024,16-Jan 3pm,197611.6,16-01-2024 15:00,26.82,55.56
2024,16-Jan 4pm,193994.55,16-01-2024 16:00,27.34,56.21
2024,16-Jan 5pm,191347.46,16-01-2024 17:00,26.52,64.3
2024,16-Jan 6pm,189973.01,16-01-2024 18:00,24.31,60.52
2024,16-Jan 7pm,185798.61,16-01-2024 19:00,23.78,62.96
2024,16-Jan 8pm,178724.04,16-01-2024 20:00,23.62,58.33
2024,16-Jan 9pm,171730.47,16-01-2024 21:00,21.2,75.93
